"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208"
"1",-Inf,-Inf,-Inf,-Inf,-Inf,3.36300872242464,-Inf,0.948809167939607,-Inf,0.226311567846427,-2.22132107296462,-0.503216149392654,-Inf,-Inf,0.578339177601938,-Inf,-Inf,-Inf,-Inf,-2.28778515438245,0.293555530378186,-Inf,-Inf,-Inf,3.11786246882738,-0.355230844295587,3.72629565549936,-1.3062857463352,-Inf,-Inf,-Inf,-Inf,1.88554375286898,1.0530676052738,-1.53122302805841,-0.568059334558331,-Inf,-6.21290455028464,-Inf,4.7291474113138,-Inf,-Inf,1.60040988213099,-2.3000084154806,-4.33967007420248,-Inf,-Inf,2.00468270391288,-Inf,-5.06661851639143,0.788482360051775,-0.124493557176605,-Inf,-1.42359336034875,-Inf,-Inf,0.70773320540675,-Inf,-Inf,-1.1761647246437,-Inf,-Inf,2.43824821187477,-Inf,-Inf,-Inf,4.68006427764032,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-3.65534696520021,-7.35067306414095,-Inf,-2.25183494608438,-Inf,-4.90597397281786,1.79056288694227,-1.61459182103338,-Inf,-2.53326673445488,-4.88728113931635,-1.22593215568036,-1.47424727212268,0.763938873863071,-3.82099014213163,-Inf,-Inf,-1.4093501140962,2.07160869487411,-0.929563425668058,-Inf,2.69347196897249,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.972664638068436,-Inf,-Inf,-Inf,-Inf,-Inf,-3.56084514279381,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.05316678673705,-Inf,-Inf,-Inf,-2.69137746681496,-Inf,-Inf,-Inf,-Inf,1.08442884415163,-Inf,-Inf,-0.0120792006893761,-Inf,-Inf,-Inf,-Inf,-Inf,4.49724972981008,0.0555304194314446,-Inf,-Inf,-1.84982935715786,-Inf,-7.59754809172951,3.06340494062113,2.18619317678217,1.42609183099396,-Inf,-Inf,-2.69706871890006,-Inf,-1.91612137325971,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.03445287978698,-Inf,-Inf,-1.3631991212112,-Inf,-Inf,-Inf,-1.88089892715835,-Inf,-Inf,-Inf,-Inf,-0.493500081521186,-Inf,-Inf,-0.964958528530797,-Inf,-Inf,-Inf,-Inf,-Inf,-1.22969069233157,-Inf,-Inf,-Inf,-Inf,2.03077007046612,-Inf,-2.15750367199222,-Inf,-Inf,-Inf,-Inf,-Inf,0.538964000204551,6.63905850644144,-Inf,-2.76350482603867,3.03080060827352,-Inf,-Inf,-Inf,-Inf,-Inf,-3.99025485369772,-Inf,-Inf,-Inf
"2",-Inf,-Inf,-Inf,-0.785973028872847,-Inf,-Inf,0.577517449877464,-Inf,-Inf,-Inf,0.858528135552724,-0.712021382975914,-0.624453497825485,-Inf,3.11151107986165,-Inf,-5.09808876879668,0.315702167218079,1.37371558144468,-4.1279487925849,-Inf,-Inf,1.00587546161624,-Inf,-Inf,-5.76353088670655,-1.39634469697339,-5.84961782287975,-Inf,-Inf,-Inf,-Inf,1.72671703448068,0.680995142727789,-0.916290731874155,3.94437847586928,-Inf,-Inf,-Inf,-3.02482499242926,-Inf,-Inf,-2.2448257486379,-Inf,-3.91664868741824,0.391981275116161,-Inf,3.28498497442295,-Inf,-Inf,1.4813572603529,-Inf,-3.30533281010679,-Inf,-0.981087686402758,-Inf,1.14536100542164,-0.6057901799717,-Inf,0.653924427404583,-7.00932410330675,-Inf,2.77327667304735,-Inf,-Inf,-Inf,2.65750890459512,-3.55434856115633,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-1.97939061698541,-Inf,-5.97322981498396,-Inf,-6.21460809842219,-Inf,2.47371930414742,-Inf,-2.15732230803357,-Inf,-Inf,1.44236746400068,3.17090345221611,-0.0953561818624033,-Inf,-Inf,-4.86277967235025,-Inf,0.895231126912448,-Inf,-1.57986226567423,4.53320254246526,1.19088756781679,-Inf,4.22629359941567,-Inf,-Inf,-Inf,3.16800349449444,-0.862022622888431,-Inf,-0.721365601513982,-Inf,-Inf,-Inf,0.0953101798043249,-Inf,-3.65970907681416,-Inf,-1.19993629533417,-Inf,-Inf,-Inf,-8.35834499080793,-Inf,-Inf,-Inf,-Inf,-Inf,1.56936182715437,-Inf,-2.45340798272863,-Inf,-Inf,-7.37137930126383,-Inf,-Inf,2.79932759347274,-Inf,-5.65071717619563,-Inf,-Inf,-Inf,1.03728673375546,-0.475439738148086,-Inf,-Inf,-1.60608678374334,-2.12841332234054,3.6154780399816,-Inf,-Inf,-3.91202300542815,-Inf,-Inf,0.837896837493933,-Inf,-1.48293535806865,-Inf,-Inf,-Inf,-7.41686737168139,-2.30258499299405,3.48277736865458,-Inf,0.356376189316014,-Inf,-Inf,2.95240335286021,-Inf,-Inf,-Inf,-Inf,-Inf,-5.61372698568048,-Inf,-Inf,-Inf,0.297381257909198,0.328728041887782,-1.42827494321027,-Inf,-Inf,-Inf,-Inf,-4.66619223051647,2.71738582160753,-0.889575775356581,2.80984265880535,-Inf,-Inf,-4.4003128123612,-6.8440671192994,1.76322281108587,-Inf,0.519747505154182,-Inf,-Inf,-Inf,-Inf,2.32238801440783,-Inf,-Inf,-5.7138328105097,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-4.88498065429955,-5.80914299031403
"3",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.02271007798149,-Inf,-Inf,1.91678122909971,1.04094439683099,-Inf,-Inf,5.39736872124045,-3.66658737904618,-5.42394567100622,-2.24503342315604,-Inf,-5.47648659619703,2.646878166983,-Inf,-Inf,-Inf,-Inf,-4.72508003170246,4.18668366608147,-Inf,-Inf,-Inf,-Inf,-2.89871627675582,2.56991087490644,2.88766224548045,4.25872841832939,5.07681871164965,1.84981719153186,0.661192009318394,2.37555019803816,-9.25116236649644,-Inf,0.972939309102836,-6.52589867132632,-Inf,-3.00269582288319,-0.920492045043714,-Inf,5.65748335525686,-Inf,-Inf,2.12666276141366,-Inf,-3.1194142739414,-Inf,-0.487998164126621,-Inf,5.20937652934665,-6.17643119908382,-Inf,-0.618856367979696,-Inf,-Inf,6.23630872729484,-Inf,-Inf,0.966547363112093,4.49031473576846,-Inf,2.31389886028182,-Inf,-3.27247176831843,-Inf,-Inf,-5.92579291817958,-Inf,0.15624174915995,-Inf,-Inf,-Inf,-Inf,-Inf,3.24635466042947,-Inf,-2.63319971896298,-Inf,1.09861228866811,1.45628673293993,2.11553236182419,1.21494227152478,-Inf,-Inf,-Inf,-Inf,5.08885424743269,-Inf,-0.61276422308563,3.80313650300094,-Inf,2.45276088340502,-Inf,-Inf,-Inf,-Inf,5.01542381082805,-Inf,-Inf,-2.10519431604316,-Inf,-Inf,-Inf,-Inf,-Inf,-5.53151125371575,-Inf,-Inf,-Inf,0.903400002282591,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.21518155096251,-Inf,-Inf,-1.87797116604712,-Inf,-3.57497914649981,-Inf,-Inf,1.37765716772423,-Inf,-Inf,-Inf,-1.17280371353468,-Inf,4.45037756682853,1.50720405922443,-Inf,-Inf,-2.25136578634352,-1.38723520357338,-Inf,-Inf,-3.7214026458195,2.1587724576282,-Inf,-Inf,-1.18319026514341,-Inf,5.97057104001874,-Inf,-Inf,-Inf,-Inf,0.625938430866495,-Inf,-Inf,-Inf,-Inf,-1.73735651484876,2.16050839012675,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-0.785065778286414,0.939225703156651,1.8677778872222,-Inf,-Inf,-Inf,-Inf,-0.229809947438329,4.17662461133351,-Inf,-Inf,-Inf,-Inf,-Inf,-1.17409521795,0.124868982045869,-Inf,4.5524602149036,-Inf,-Inf,-Inf,-0.880199911729801,7.892112426649,-Inf,-Inf,-4.94232265391417,-Inf,-Inf,-Inf,-5.23290160529811,-Inf,5.00885242105555,-Inf,-1.0047186116303,2.57828314304314
"4",-Inf,-0.785973028872847,-Inf,-Inf,-Inf,-Inf,-Inf,-2.29933039527355,-Inf,-Inf,-2.50838037452408,2.90457102501894,0.175543638514495,-Inf,3.21798783071807,-Inf,-6.37189953861105,-2.90665346850064,4.2027332608025,-6.41062298234815,-Inf,-Inf,-Inf,-Inf,-4.87197830978856,-4.06984709062171,1.05820340325098,-Inf,-Inf,-Inf,-Inf,-Inf,0.84437788712594,2.76843416651223,-Inf,3.18541947062916,-4.28138523655603,-3.37969032537772,-4.82660894129315,-3.01624115018553,-Inf,-Inf,-4.22270079767424,-4.8860163433056,0.435142080713595,0.977592470277756,-Inf,4.21536900550276,-Inf,-Inf,2.35969578347303,-Inf,-5.79985294340693,-2.38927543061324,1.95166044153105,-Inf,0.735296773431394,-Inf,-Inf,-1.05757466939654,-Inf,-Inf,3.03404007012571,-Inf,-Inf,-Inf,2.6900891969766,-1.20916418626102,-Inf,-Inf,-Inf,-Inf,-3.49972132006099,-Inf,-Inf,5.78664274772332,-Inf,-8.25482892694875,-Inf,-Inf,-Inf,-1.87734971105425,-Inf,1.71556213639249,-5.44563246230354,1.89461685466776,-0.669821355256449,0.342880232916543,0.044105685301699,-4.09755645483115,-Inf,-2.53192392046226,-1.63342839657435,6.1311901844763,-Inf,-1.59946134430137,1.54585893079123,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-1.34298969099071,-2.99612154931197,-Inf,-1.14633931816553,-Inf,-Inf,-Inf,-Inf,-Inf,-3.02526407616003,-Inf,-Inf,-Inf,-0.366823553019158,-0.247590072312601,-5.17199313321454,-Inf,-Inf,-Inf,3.5822983327088,-3.61305238901901,1.79387107155913,-Inf,-Inf,-Inf,-Inf,-6.88111334803572,-Inf,-Inf,-0.738798944662885,-Inf,-5.32913540129014,-Inf,-3.04773718950517,-Inf,2.39258620460317,-0.712184648665096,-Inf,-Inf,-4.48589493091177,-Inf,-4.34061539939007,-Inf,-4.32753844938981,-Inf,-Inf,-Inf,0.165090619865593,-Inf,-0.237192996694694,-Inf,-Inf,-Inf,-4.10876808288783,2.10679880459264,0.941960782713646,-Inf,-1.6110294783034,-Inf,-5.44140744101593,-Inf,-Inf,-Inf,-Inf,-1.5163215008169,-Inf,-Inf,-Inf,-Inf,-Inf,1.35208537425982,2.62174402994194,1.56570167563182,-Inf,-Inf,-0.503989046507002,-Inf,-Inf,0.26672658186402,-Inf,-Inf,-Inf,-Inf,-6.6495527394138,-Inf,4.33612601050981,-Inf,-0.689938334417898,-Inf,-Inf,0.657374137356651,-Inf,3.21164977977646,-Inf,-Inf,-1.6126505674884,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-4.54289986026197,-Inf
"5",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-0.0879474513341839,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"6",3.36300872242464,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-1.07557457637749,1.63986817950004,2.07442655010455,-Inf,-Inf,4.72740239382736,-0.216700104973003,-Inf,-2.08637673463319,-Inf,-Inf,4.06634833286077,-Inf,-Inf,2.60253589584159,1.66967412941938,-0.611418817479024,5.1572807371044,1.63915941988504,-Inf,-Inf,-Inf,-Inf,4.20695930225463,2.97970298824029,3.7369550773455,1.98115318149557,0.128557414127755,-Inf,-Inf,4.32343373657082,-Inf,-Inf,-Inf,3.52984502609518,-Inf,-1.57463559989865,-Inf,4.18557309007351,-Inf,-0.942083011376614,2.00485100118566,-Inf,-Inf,-Inf,-Inf,-Inf,4.29319979254241,-6.16852636063519,-Inf,0.998484307541065,-Inf,-Inf,4.04601336770998,-Inf,-Inf,-Inf,4.00906441306513,-Inf,-Inf,-Inf,-4.89078080538093,3.983951249557,-Inf,-Inf,-Inf,-0.52676325578838,-0.24778922369379,-Inf,4.63784509898339,-0.661648319702143,4.61780868266201,4.30793869193495,-Inf,-6.81244509917781,2.13300599671593,-Inf,3.05309512510624,2.27037177062939,-1.97741000091539,-Inf,-Inf,-Inf,-Inf,5.50442787572192,3.96238887989476,-Inf,4.3142206478463,-Inf,-Inf,-Inf,-Inf,-Inf,-3.26118186274459,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.5870835493115,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.41725323497274,-Inf,-2.20880969035789,-Inf,4.15811247401655,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.0402192900662,-0.0500953490527773,-Inf,-Inf,-Inf,-4.38090726140596,-Inf,5.79859707713691,4.99673986489932,-Inf,-Inf,-0.0262456937217599,-Inf,-3.44451843372712,2.98541018360697,2.7153303033995,3.00515771420115,-Inf,-Inf,-1.19732809604437,-4.23843204627855,3.4716514961245,-Inf,-Inf,-Inf,-7.12918779495256,2.00148000021012,-Inf,-Inf,0.0912971383138641,-6.18434323482103,0.0983872589186234,3.35520893900302,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.72493844351297,-2.8942809889929,-Inf,1.81737277979716,-4.09660531580077,-Inf,-Inf,-Inf,0.590239210507524,2.68679755503675,-Inf,-1.98850454668773,-Inf,-Inf,3.89163205590438,-1.46844194916732,-1.20031274385978,-Inf,-Inf,-6.58980567491429,-Inf,-Inf,1.10011129792547,6.76289145913483,-Inf,-0.969042194135086,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.98028884259499,-Inf,-0.548016890971836,-6.90775527898214
"7",-Inf,0.577517449877464,-Inf,-Inf,-Inf,-Inf,-Inf,2.89037175789616,2.65765755364201,-Inf,6.68664503409863,4.88245352857089,4.2551745003433,-2.18650216837445,5.96225687571279,-1.15742292550059,-4.31648311871283,4.49344020607034,3.44903471107632,5.34131650936007,-Inf,-Inf,1.10426296017692,-Inf,-5.89017229562611,-2.03116578026901,5.01421753686294,-Inf,2.02814824729229,-Inf,-Inf,-Inf,4.87420570957743,6.02747434154399,4.06714464229545,7.47633307361281,2.96291513369123,-0.957492095220664,-Inf,-0.0184664603649325,-Inf,-Inf,0.496258435609903,-Inf,3.9482492396011,3.15606432357299,-Inf,7.57360731329699,2.05524619324565,-4.80267255036062,5.05479209954833,-Inf,1.98215115255454,1.38629436111989,4.53053381271662,-Inf,5.61635421078131,0.401309217679476,0.693147180559945,5.58483357964984,-Inf,-Inf,7.31262120761813,-Inf,-Inf,-Inf,7.82433053037677,-0.82098055206983,1.20021776297444,-Inf,0.0612361994705734,2.39789527279837,-2.59302028513762,-Inf,-Inf,3.90931173324924,-10.6345443061693,-Inf,-Inf,-5.52146091786225,-Inf,7.45055678150528,-Inf,1.49738840862548,-Inf,2.98568193770049,6.44155656186865,8.01647993157997,4.57536931845111,7.19342297393718,-Inf,-3.42769434611673,-Inf,7.53437353753694,-Inf,4.60498416868795,9.43252682541831,1.82454929205105,5.35471660339716,-Inf,-Inf,-Inf,-Inf,8.01000095888267,5.54150430048826,-Inf,4.8597061971715,-Inf,9.9999995058387e-08,-7.51301979556655,4.8941014778403,-Inf,1.49796542332852,-Inf,0.376284395714978,-1.21277913313238,3.07644552559317,-Inf,0.85561460873155,2.9986871436223,3.2188758248682,-Inf,0.681286317802426,-Inf,1.69983222915843,1.79176030256104,-Inf,1.68151668429565,-1.62754078513195,-1.48406640883574,-Inf,-0.784166578947114,6.67242397026672,-Inf,-5.6228958155176,-5.11429059778808,0.113316095942043,-Inf,6.35498393927963,4.01085138908898,-Inf,-Inf,4.66440249781418,7.44227090557619,6.84163791212335,-Inf,0.611774422094208,5.70239885122395,-Inf,-2.60461493755344,3.81749252158191,-Inf,3.62007531481594,-Inf,-Inf,5.65146865971464,0.352221140464203,3.73957256842945,5.65623653611693,1.23695960774698,7.5229205935415,2.60374320437246,1.24113042923699,7.77044209113417,-Inf,-Inf,-Inf,-2.86764517423573,-Inf,3.62333714935411,-Inf,-Inf,-Inf,2.61034424037193,2.78667035896985,5.17615995851024,-Inf,0.312676836950642,4.35093140022463,-Inf,-1.54732263748742,7.48856281297498,-Inf,3.43855417931652,-Inf,-Inf,-3.74343515911741,1.94476449304201,5.5202421354486,-Inf,6.92122455957759,4.40883201380038,2.45120482816494,-Inf,1.09861228866811,7.89303480233492,-Inf,-Inf,-0.234503203544385,3.49234740485087,-Inf,-Inf,5.50232812777502,-Inf,4.81513617332977,-Inf,2.04109071006988,1.07261052034053
"8",0.948809167939607,-Inf,3.02271007798149,-2.29933039527355,-Inf,-Inf,2.89037175789616,-Inf,-5.47267075369281,-Inf,5.20761336201155,4.70176590277192,-3.4514385980989,-Inf,6.20068623747354,-Inf,-1.14429608260527,3.75069785720752,3.70990682130601,-0.784124958783672,-Inf,-4.71053070164592,2.7214927767987,-4.497213044483,-4.49103825194318,5.99328239382299,9.26601478523175,0.0513547869968412,-Inf,-Inf,-Inf,-Inf,5.94872926508662,6.09264247794019,7.69058684419484,6.84789168001434,2.70484854794283,-0.325413015863279,-1.46835510365674,5.7738404853476,-Inf,-Inf,3.48916842302659,4.36200760946536,3.08711788229396,3.18222636321273,-Inf,7.79326922717641,-Inf,-4.18728914226519,5.62111546540243,-1.47972630591244,4.42370658104817,5.25109404174446,5.52024671701866,-Inf,7.53771896660566,1.36930078474332,-Inf,5.03536367840454,-Inf,-Inf,7.38063913140001,-3.14655516328857,-Inf,-Inf,6.69610121993886,-Inf,-Inf,-Inf,-0.823912117639507,-Inf,0.0204004877576787,-Inf,-Inf,4.60227750622119,-1.02431757680848,-2.83113350841461,3.10894175532796,-1.39432653281715,-Inf,6.55474817172754,0.916290731874155,2.60434017448953,-Inf,3.59840755094986,5.62577877013548,5.42883058406089,4.17034310326655,6.30191029978498,-Inf,-1.50933469216762,4.94734044372394,7.75403676589391,-Inf,3.87236491664009,7.05179068578259,-1.4558588245058,-1.20896926587676,-3.72970144863419,-Inf,-Inf,-Inf,6.17130594752184,2.8957572301725,-Inf,3.11471121161173,-Inf,2.28992580121726,-0.917451114858158,2.59525470695687,-Inf,1.90190899922902,-Inf,0.773274500038417,-0.483926341970895,3.87550513071397,-6.90775527898214,-1.88723559680095,-3.44726749851668,6.95714935599759,-Inf,0.996609093859243,-Inf,1.62642405696767,-Inf,-Inf,1.35118518400632,-Inf,0.170577868836783,2.80030723996302,1.27909882951633,5.85704704772108,-Inf,0.328216825722218,-1.97880014356199,3.53044189038276,0.598836501088704,7.32976365615709,4.50754952908604,-Inf,-Inf,3.73290973657016,2.84812513796774,4.32630123034988,2.50938331223355,5.946812309898,3.48834097213342,-Inf,-Inf,3.84282296962701,-Inf,5.10323623145776,6.59357384608694,-Inf,0.787456860030687,3.06296092304944,3.83578969942856,5.12132060782057,-Inf,4.08719405819326,-Inf,2.40943749523545,5.74452382592488,-Inf,-Inf,-Inf,2.16597086187376,-Inf,-Inf,-Inf,-Inf,-2.20908564248006,2.97690311228597,2.57463308766186,5.62752650489882,-Inf,-Inf,3.70298485603746,-Inf,-3.27989786939658,5.36061710222458,-Inf,0.0596830021611736,-Inf,-Inf,1.83024032542133,3.37437213036358,5.36784716053297,-Inf,5.87403369942613,-Inf,-Inf,2.64898078599133,6.8652643926363,8.77796387912218,-1.57987765388294,-1.41427417062685,6.13914074118464,1.09386771763735,-Inf,-Inf,-4.86482472507971,0.393595610164718,6.19086218257302,-Inf,0.595699454380276,3.7721216533359
"9",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.65765755364201,-5.47267075369281,-Inf,-Inf,-3.55989854927235,0.777626187137884,-Inf,-Inf,4.59447378289223,-Inf,-Inf,-Inf,2.49979526228175,-5.72174280003319,-Inf,-Inf,1.36657623025379,-Inf,-Inf,-3.83136510241069,-1.47490701947649,-Inf,-Inf,-Inf,-Inf,-Inf,-0.674546059096625,2.28341246720524,-Inf,-0.0437429229479187,-Inf,-Inf,-Inf,-3.60781572939421,-Inf,-Inf,-2.18852453271574,-Inf,-1.32125596494067,1.87759001041654,-Inf,3.59577793342537,-Inf,-Inf,2.94141652140247,-Inf,-Inf,-Inf,-0.837033717392078,-Inf,1.15988068752935,-1.54439590869017,-Inf,0.077765162188563,-Inf,-Inf,2.8084847440536,-Inf,-Inf,-Inf,1.28445264721118,4.29433002296456,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.08008383536508,-Inf,-Inf,-Inf,-Inf,-Inf,-2.79668733528282,-Inf,-5.20300718674371,-Inf,-1.57498817770487,-Inf,-0.890135774397304,0.785630641684042,4.85453423573894,-Inf,-Inf,-Inf,3.15741778085195,-Inf,-4.18418152742888,-1.15359659700087,1.03673688495002,-Inf,-0.356532096998985,-Inf,-Inf,-Inf,0.970778917158225,-2.67777321021794,-Inf,1.42465172092167,-Inf,-Inf,-Inf,-Inf,-Inf,0.760216870585048,-Inf,-1.50721712055453,-Inf,-Inf,1.06248412199305,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-4.05247313454949,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-3.02579774413026,-Inf,-Inf,-Inf,-Inf,-Inf,2.59596549906042,0.133306367308225,-Inf,-Inf,-4.36238872682556,-0.930118394873909,-4.2942809939885,-Inf,0.539354769879964,-Inf,-Inf,-Inf,0.640853385838811,-Inf,-2.92544828924536,-Inf,-Inf,-Inf,-Inf,0.73716406597672,5.47981671041757,-Inf,-1.64753965187205,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-1.04585685372922,-2.17771611094818,-4.17204581324599,-Inf,-Inf,-0.121185066004798,-Inf,-Inf,-3.8175781999522,-1.40161106523178,5.40138984163626,-Inf,-Inf,-Inf,-Inf,1.69518065170976,-Inf,-1.82637575902681,-Inf,-Inf,2.33984812190262,-Inf,4.88910022837014,-0.963513375246495,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.51180252446981,-Inf,-Inf,-Inf
"10",0.226311567846427,-Inf,-Inf,-Inf,-Inf,-1.07557457637749,-Inf,-Inf,-Inf,-Inf,-0.669186933644834,-1.78408134163701,-Inf,-Inf,-0.989772538571929,-Inf,-Inf,-0.778417528565936,-2.30258509299405,-Inf,-3.24986352249469,-Inf,-Inf,-1.66795195059999,0.643143685602327,-Inf,2.97619261167937,2.22207870533756,-Inf,-Inf,-Inf,-Inf,2.70314411927324,1.00181977741985,-Inf,0.819251057355671,-Inf,-Inf,-Inf,-1.28646965984721,-Inf,-Inf,-1.83473941545215,-Inf,-Inf,0.129158093677889,-Inf,1.39161426032931,-Inf,0.957695212716309,0.154366170893105,-Inf,-Inf,-Inf,-Inf,-Inf,1.33128179036979,-3.39994585514828,-Inf,-2.22020395235655,-Inf,-Inf,1.12271227040295,-Inf,-Inf,-Inf,3.75487527225323,-Inf,-5.25422201531026,-Inf,-0.684326398297749,-0.576257450448845,-Inf,-Inf,-Inf,1.56166955604125,-0.455670836215639,-Inf,-Inf,-Inf,1.23911077132507,-Inf,-Inf,-4.17338776956255,-Inf,-Inf,-Inf,-3.12356564506388,1.89805125112284,-Inf,-Inf,-Inf,-Inf,1.9864761094302,1.71497138313434,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.91773968163926,-Inf,-Inf,-Inf,-Inf,-3.67835503065772,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-7.9314447133175,-Inf,-Inf,-Inf,-Inf,-0.992004531139896,-Inf,-Inf,-1.62874357323859,-Inf,-9.62419053661879,-Inf,-2.38939867136529,-Inf,1.47460601737991,0.242595764281283,-Inf,-Inf,-1.33854016194837,-Inf,-Inf,-Inf,-2.53577898016176,-1.80788885115794,-Inf,-Inf,3.17327158026318,-Inf,3.25928755924327,-Inf,-Inf,-Inf,-Inf,-2.20727491318972,-Inf,-Inf,-Inf,-Inf,-Inf,2.03569940226692,-Inf,-Inf,-Inf,-4.46183203717318,-Inf,-Inf,-Inf,-Inf,-2.88401202394358,-3.54481720610392,0.068032410391827,0.5209707673251,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.96382196218072,-0.860626155476192,-1.98631556369035,-Inf,-0.371136147784574,-Inf,-Inf,-Inf,-4.17338776956255,4.70057127075134,-Inf,1.47418709959635,-0.908918473872044,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.7646205525906
