ISO,Population,Population_bracket,GDP,GDP_bracket,GDP_per_capita,GDP_per_capita_bracket,GATT
ABW,0.080324,1,1320.6703,3,16441.789502514814,9,0
AFG,21.489,8,4059.9999999999995,4,188.93387314439943,1,0
AGO,12.279707,7,5039.5347,5,410.3953538956589,2,1
ALB,3.133065,4,2424.499,3,773.842547154304,4,0
AND,0.062928,1,1180.0,2,18751.58911772184,9,0
ANT,0.186726,2,3810.0,4,20404.22865589152,9,0
ARE,2.411,4,42806.867,8,17754.818332642055,9,1
ARG,34.834904,9,258031.88,9,7407.279778925184,8,1
ARM,3.226979,4,1468.3173,3,455.0129703354128,2,0
ATG,0.069549002,1,494.18518,2,7105.568243811752,7,1
AUS,18.072001,8,384105.25,10,21254.162723873244,9,1
AUT,7.9530668,6,239559.98,9,30121.71103604964,10,1
AZE,7.6849999,6,3052.4675,4,397.19811837603277,2,0
BDI,6.15906,6,1000.4284,2,162.4319944926661,1,1
BEL,10.1368,7,284321.28,10,28048.425538631527,10,1
BEN,6.2006469,6,2009.2262,3,324.0349325487314,2,1
BFA,9.8318567,7,2463.1655,3,250.52902774711924,1,1
BGD,116.45462,10,37939.754,8,325.7900287682876,2,1
BGR,8.3999996,6,13106.88,6,1560.3429314449015,5,0
BHR,0.58418697,3,5849.4678,5,10013.006281191107,8,1
BHS,0.27911699,2,3459.3999,4,12394.085720113275,8,0
BIH,3.4200721,4,1866.573,3,545.7700730929035,3,0
BLR,10.194,7,13972.638,7,1370.6727486756915,4,0
BLZ,0.2165,2,619.40002,2,2860.9700692840647,6,1
BMU,0.061700001,1,2030.75,3,32913.289580011515,10,0
BOL,7.4816942,6,6715.1646,5,897.545986308823,4,1
BRA,161.37596,10,768951.31,10,4764.968152629425,7,1
BRB,0.26205099,2,1859.1459,3,7094.595979202369,7,1
BRN,0.29497501,2,5216.7349,5,17685.34527721518,9,1
BTN,0.50703198,3,300.87814,1,593.4105773762041,3,0
BWA,1.615528,4,4773.7305,5,2954.9042170733032,6,1
CAF,3.4144039,4,1121.9072,2,328.5806931042927,2,1
CAN,29.354,9,581681.75,10,19816.098317094773,9,1
CHE,7.0409999,6,314799.44,10,44709.4794022082,10,1
CHL,14.394935,8,71349.211,8,4956.549716966419,7,1
CHN,1204.855,10,728010.81,10,604.2310568491645,3,0
CIV,14.755305,8,11000.111,6,745.5021092413882,3,1
CMR,13.302275,7,8733.2266,6,656.5212792548643,3,1
COG,2.9155941,4,2115.9971,3,725.7516058219489,3,1
COL,38.258568,9,92502.555,8,2417.8258579882026,6,1
COM,0.48619276,3,231.89381,1,476.95858325821223,2,0
CPV,0.40110999,2,490.60934,2,1223.1291970563982,4,0
CRI,3.4748969,4,11722.356,6,3373.4399429231985,6,1
CUB,10.866781,7,30430.0,7,2800.2772854261075,6,1
CYP,0.65085,3,8860.5967,6,13613.884458784665,8,1
CZE,10.331,7,55257.047,8,5348.663924111896,7,1
DEU,81.641998,10,2.5227923e6,10,30900.668305545387,10,1
DJI,0.60873097,3,497.72397,2,817.6419379483847,4,1
DMA,0.072999999,1,224.03702,1,3069.0003160137035,6,1
DNK,5.2280002,5,181983.61,9,34809.41144569963,10,1
DOM,8.0133829,6,12584.885,6,1570.4834221761698,5,1
DZA,28.270781,9,41764.055,8,1477.2869203719558,5,0
ECU,11.396394,7,20205.686,7,1772.9894210396728,5,0
EGY,61.224735,10,60159.246,8,982.5970826986837,4,1
ERI,3.0972569,4,578.01563,2,186.62179104355212,1,0
ESP,39.387001,9,596752.06,10,15150.990043644097,8,1
EST,1.437,3,4330.6479,4,3013.6728601252607,6,0
ETH,56.529999,9,7605.6738,6,134.54225958857702,1,0
FIN,5.1079998,5,130916.39,9,25629.6779808018,9,1
FJI,0.76793599,3,1990.6136,3,2592.160838821996,6,1
FLK,0.00249,1,160.0,1,64257.0281124498,10,0
FRA,57.844002,9,1.5702564e6,10,27146.39972524722,10,1
FRO,0.043805,1,1110.0,2,25339.573108092685,9,0
FSM,0.45492,3,220.0,1,483.60151235382045,3,0
GAB,1.118736,3,4958.8301,5,4432.52930092533,7,1
GBR,58.25,10,1.1336326e6,10,19461.503862660946,9,1
GEO,5.0325651,5,2693.7319,4,535.260219485288,3,0
GHA,17.725204,8,6457.4419,5,364.30846719733097,2,1
GIB,0.027412,1,500.0,2,18240.186779512624,9,0
GIN,7.3232222,6,3693.7534,4,504.389092549998,3,1
GLP,0.40373,2,3700.0,4,9164.540658360786,8,0
GMB,1.115216,3,381.94534,1,342.4855274673247,2,1
GNB,1.1893311,3,253.96048,1,213.5321946933028,1,1
GNQ,0.39810801,2,163.98006,1,411.898419225476,2,0
GRC,10.634,7,120152.08,9,11298.860259544856,8,1
GRD,0.097999997,1,276.2963,1,2819.3500863066347,6,1
GRL,0.055799998,1,1210.0,3,21684.58859084547,9,0
GTM,9.9703674,7,14656.919,7,1470.0480345388273,4,1
GUF,0.1374,2,1000.0,2,7278.02037845706,8,0
GUY,0.73232102,3,621.62683,2,848.8447183995894,4,1
HKG,6.1560998,6,144229.97,9,23428.79009206446,9,1
