ISO,Population,Population_bracket,GDP,GDP_bracket,GDP_per_capita,GDP_per_capita_bracket,GATT
HND,5.6249542,6,3911.053,4,695.3039724305665,3,1
HRV,4.6700001,5,18811.205,7,4028.095202824514,7,0
HTI,7.3912649,6,2907.8398,4,393.4157196828381,2,1
HUN,10.328965,7,44656.309,8,4323.4059753324755,7,1
IDN,192.75,10,202132.03,9,1048.6746044098572,4,1
IND,932.17999,10,355162.66,10,381.0022354159308,2,1
IRL,3.60885,5,67104.422,8,18594.40597420231,9,1
IRN,58.953999,10,90829.5,8,1540.6842884398732,5,0
IRQ,21.631872,8,38000.0,8,1756.6671992141964,5,0
ISL,0.26800001,2,7013.4053,5,26169.42178472307,10,1
ISR,5.5450001,6,89560.32,8,16151.545245238138,9,1
ITA,56.8461,9,1.1260415e6,10,19808.59724765639,9,1
JAM,2.48,4,5813.4717,5,2344.141814516129,5,1
JOR,4.1950002,5,6727.4463,5,1603.6819974406676,5,0
JPN,125.439,10,5.2442465e6,10,41807.145305686434,10,1
KAZ,15.815626,8,20374.307,7,1288.2390491530339,4,0
KEN,27.225891,9,9046.332,6,332.26945630539694,2,1
KGZ,4.5899,5,1661.0186,3,361.88557484912525,2,0
KHM,11.367785,7,3442.95,4,302.8690285750478,2,0
KIR,0.079999998,1,46.002964,1,575.0370643759265,3,0
KNA,0.041000001,1,230.74074,1,5627.822789565297,7,1
KOR,45.092999,9,517118.13,10,11467.814105688558,8,1
KWT,1.802,4,27191.688,7,15089.726970033294,8,1
LAO,4.6923051,5,1763.5363,3,375.83581255191615,2,0
LBN,3.4907429,4,11718.795,6,3357.106305365543,6,0
LBR,2.1414609,4,134.8,1,62.94768211738072,1,0
LBY,4.80761,5,25541.381,7,5312.6982013932075,7,0
LCA,0.145437,2,560.8111,2,3856.0414474996046,6,1
LKA,18.136,8,13029.293,6,718.4215372739303,3,1
LSO,1.692269,4,930.87952,2,550.0777476866857,3,1
LTU,3.632,5,7620.7241,6,2098.2169878854625,5,0
LUX,0.4095,2,20676.383,7,50491.77777777779,10,1
LVA,2.5150001,4,5235.7197,5,2081.7970146402777,5,0
MAC,0.41283199,2,6567.0391,5,15907.292213474058,9,1
MAR,26.434671,9,32986.184,8,1247.8378868418677,4,1
MDA,4.379293,5,1752.9954,3,400.2918735969482,2,0
MDG,13.945501,8,3159.8533,4,226.58585733133577,1,0
MDV,0.25180301,2,398.98895,1,1584.5281198187424,5,1
MEX,91.144997,10,286698.28,10,3145.518563130788,6,1
MHL,0.050999999,1,105.239,1,2063.5098443825464,5,0
MKD,1.963487,4,4449.376,4,2266.05829323036,5,0
MLI,10.146967,7,2466.1523,3,243.0432955975909,1,1
MLT,0.37799999,2,3245.9619,4,8587.201020825423,8,1
MMR,44.499634,9,4880.0,5,109.66382330245682,1,1
MNG,2.2750001,4,1450.0,3,637.3626093466985,3,0
MOZ,15.853741,8,2246.7915,3,141.71995745357515,1,1
MRT,2.3000131,4,1415.2966,3,615.3428430472852,3,1
MTQ,0.368728,2,4240.0,4,11498.991126250245,8,0
MUS,1.122457,3,3820.0798,4,3403.3195035533654,6,1
MWI,10.110516,7,1397.4579,3,138.21825710972615,1,1
MYS,20.362329,8,88832.453,8,4362.588041868884,7,1
NAM,1.651547,4,3503.0886,4,2121.095312455534,5,1
NCL,0.193,2,3628.4404,4,18800.20932642487,9,0
NER,9.9293556,7,1880.7974,3,189.41787118592066,1,1
NGA,109.01006,10,28108.826,7,257.85533922282036,1,1
NIC,4.476892,5,3191.1421,4,712.803011553551,3,1
NLD,15.46,8,432577.0,10,27980.401034928847,10,1
NOR,4.3600001,5,147974.02,9,33938.99463442673,10,1
NPL,21.68206,8,4382.623,4,202.13130117710216,1,0
NRU,0.010316,1,60.0,1,5816.2078324932145,7,0
NZL,3.6733999,5,61281.25,8,16682.43362232356,9,1
OMN,2.177264,4,13802.601,7,6339.424617317882,7,0
PAK,122.37495,10,60636.07,8,495.49413503335444,3,1
PAN,2.6704121,4,7906.1001,6,2960.6292227330755,6,0
PER,23.836863,8,53674.086,8,2251.7260765395176,5,1
PHL,68.395836,10,74119.875,8,1083.6898755064562,4,1
PLW,0.017209,1,95.237,1,5534.139113254692,7,0
PNG,4.6872358,5,4601.0313,5,981.6086700822689,4,1
POL,38.587601,9,139095.0,9,3604.655288106664,6,1
PRK,20.918396,8,5000.0,5,239.0240628392349,1,0
PRT,10.027,7,112960.06,9,11265.588909943153,8,1
PRY,4.7989502,5,8065.8115,6,1680.7449887685852,5,1
PYF,0.21579599,2,3982.375,4,18454.351260187923,9,0
QAT,0.52573597,3,8137.9116,6,15479.08468199351,8,1
REU,0.673543,3,3000.0,4,4454.058612441967,7,0
ROM,22.681,8,35477.059,8,1564.1752568228915,5,1
RUS,148.14101,10,395528.5,10,2669.946019674093,6,0
RWA,5.4390788,6,1293.4476,3,237.80637265266316,1,1
SAU,18.508698,8,142457.69,9,7696.79693298794,8,0
SDN,29.352022,9,7194.3809,5,245.10682432712812,1,0
SEN,9.1195126,7,4476.002,5,490.81592364925297,3,1
SGP,3.526,4,84290.609,8,23905.44781622235,9,1
SHN,0.005157,1,20.0,1,3878.2237735117315,6,0
SLB,0.36383301,2,327.22626,1,899.3858473699239,4,1
SLE,4.136745,5,870.74957,2,210.49147820327332,1,1
SLV,5.6686058,6,9500.4922,6,1675.9839253595655,5,1
SMR,0.024886,1,1100.0,2,44201.5591095395,10,0
SOM,6.3116469,6,2000.0,3,316.874507032388,2,0
SPM,0.006392,1,100.0,1,15644.555694618273,8,0
STP,0.127508,2,50.0,1,392.1322583681024,2,0
SUR,0.41460299,2,693.60968,2,1672.9490542265505,5,1
SVK,5.3636761,5,19714.637,7,3675.5830576719572,6,1
SVN,1.99,4,20288.494,7,10195.223115577888,8,1
SWE,8.8310003,6,250639.81,9,28381.814232301636,10,1
SWZ,0.89999998,3,1364.4117,3,1516.0130336891787,5,1
SYC,0.075304002,1,508.2345,2,6749.1034540236,7,0
SYR,14.754705,8,11396.706,6,772.4116476744198,3,0
TCD,7.0336308,6,1445.9154,3,205.57169420948284,1,1
TGO,4.5121589,5,1309.3787,3,290.18896032229713,2,1
THA,58.335953,10,167895.81,9,2878.084635044875,6,1
TJK,5.7723918,6,1231.5231,3,213.3471085590552,1,0
TKM,4.1929789,5,2482.2285,3,591.9964204923617,3,0
TMP,0.819,3,502.0,2,612.942612942613,3,0
TON,0.096864998,1,162.35974,1,1676.1445656562137,5,0
TTO,1.259324,3,5329.2139,5,4231.80523836598,7,1
TUN,8.9575005,7,18030.877,7,2012.9361979940722,5,1
TUR,61.737,10,169318.55,9,2742.5781945996723,6,1
TUV,0.009585,1,11.0,1,1147.6264997391759,4,0
TWN,21.209999,8,273792.0,10,12908.628614268204,8,0
TZA,29.902102,9,5255.2373,5,175.74808954902232,1,1
UGA,20.892273,8,5755.8188,5,275.4998845745506,1,1
UKR,51.512299,9,48213.867,8,935.9680685189376,4,0
URY,3.2181931,4,18348.172,7,5701.3893914569635,7,1
USA,266.27802,10,7.3423e6,10,27573.811762608115,10,1
UZB,22.785,8,13350.462,7,585.9320605661619,3,0
VCT,0.112978,2,266.48148,1,2358.7024022376036,6,1
VEN,22.042999,8,74888.742,8,3397.3935216346927,6,1
VNM,72.980003,10,20736.164,7,284.13487459023537,2,0
VUT,0.17222001,2,227.89914,1,1323.302327064085,4,0
WSM,0.168245,2,200.35741,1,1190.8669499836546,4,0
YEM,15.21867,8,4236.2969,4,278.3618345098488,1,0
YUG,10.552,7,14449.051,7,1369.3187073540562,4,0
ZAF,39.119999,9,151113.09,9,3862.8091478223196,6,1
ZAR,44.998562,9,5643.439,5,125.41376322203364,1,1
ZMB,9.5594196,7,3477.6421,4,363.7921804373981,2,1
ZWE,11.819622,7,7111.27,5,601.649528216723,3,1
