ISO,Population,Population_bracket,GDP,GDP_bracket,GDP_per_capita,GDP_per_capita_bracket,GATT
ABW,0.090866,1,1858.6592,3,20454.94684480444,9,0
AFG,25.889,9,4059.9999999999995,4,156.82336127312757,1,0
AGO,13.840636,8,9129.1797,6,659.5924999400318,3,1
ALB,3.061775,4,3686.6494,4,1204.0889353397947,4,1
AND,0.066097,1,1430.0,3,21634.86996384102,9,0
ANT,0.17566,2,3810.0,4,21689.627689855402,9,0
ARE,3.247,4,70591.422,8,21740.505697566987,9,1
ARG,36.895714,9,284203.75,10,7702.893349617791,8,1
ARM,3.082,4,1911.5636,3,620.2347826086957,3,0
ATG,0.076485999,1,678.51855,2,8871.147123279387,8,1
AUS,19.153,8,399663.72,10,20866.899180285072,9,1
AUT,8.0115604,6,193838.5,9,24194.849732394203,9,1
AZE,8.0485344,6,5272.6172,5,655.1027724997982,3,0
BDI,6.4860711,6,709.06238,2,109.3207843497121,1,1
BEL,10.252,7,231933.48,9,22623.2422941865,9,1
BEN,7.1969552,6,2254.8389,3,313.30456246274815,2,1
BFA,11.291615,7,2600.7007,3,230.3214110647591,1,1
BGD,128.91588,10,47096.84,8,365.3300120978114,2,1
BGR,8.0600004,6,12599.392,6,1563.19992242184,5,1
BHR,0.67200798,3,7970.6909,6,11861.00632316896,8,1
BHS,0.301438,2,5004.0005,5,16600.43027090148,9,0
BIH,3.847126,5,5048.3901,5,1312.2497417552738,4,0
BLR,10.005,7,12736.856,6,1273.0490754622688,4,0
BLZ,0.2498,2,831.79999,2,3329.8638510808646,6,1
BMU,0.062130999,1,3480.0,4,56010.68799811186,10,0
BOL,8.3166475,6,8397.8584,6,1009.7648601795373,4,1
BRA,173.85767,10,644475.13,10,3706.9122690992003,6,1
BRB,0.26608899,2,2544.4736,3,9562.491104949511,8,1
BRN,0.33346301,2,4316.1831,4,12943.5138847934,8,1
BTN,0.55856502,3,446.35028,2,799.1017411007944,4,0
BWA,1.754002,4,6177.1841,5,3521.7657106434317,6,1
CAF,3.777405,5,952.83575,2,252.24611869788916,1,1
CAN,30.769699,9,714458.25,10,23219.539781653373,9,1
CHE,7.1842222,6,246049.73,9,34248.62471542153,10,1
CHL,15.41183,8,75213.305,8,4880.231938712015,7,1
CHN,1262.645,10,1.1984803e6,10,949.182311734494,4,0
