ISO,Population,Population_bracket,GDP,GDP_bracket,GDP_per_capita,GDP_per_capita_bracket,GATT
CIV,16.734951,8,10425.293,6,622.9652539765428,3,1
CMR,14.856343,8,10075.041,6,678.1642696321699,3,1
COG,3.4377971,4,3219.8938,4,936.6154273618998,4,1
COL,41.682594,9,83778.617,8,2009.9185045921085,5,1
COM,0.54032737,3,201.90056,1,373.6633959519763,2,0
CPV,0.45059699,3,531.38599,2,1179.2932527134724,4,0
CRI,3.928797,5,15946.497,7,4058.875274034265,7,1
CUB,11.124665,7,30570.0,7,2747.9479157349906,6,1
CYP,0.69400001,3,9147.166,6,13180.35427694014,8,1
CZE,10.2733,7,56720.836,8,5521.189491205358,7,1
DEU,82.209999,10,1.9002211e6,10,23114.23334283218,9,1
DJI,0.71457398,3,551.23083,2,771.411841780189,3,1
DMA,0.071326002,1,271.17038,1,3801.8446624836765,6,1
DNK,5.3373442,5,160082.64,9,29992.939184997664,10,1
DOM,8.7439833,6,19772.244,7,2261.2399088182156,5,1
DZA,30.463135,9,54790.063,8,1798.5694184134363,5,0
ECU,12.305544,7,15941.643,7,1295.4846205905242,4,1
EGY,67.2855,10,99838.539,9,1483.804668167733,5,1
ERI,3.556531,5,633.59998,2,178.1511197287469,1,0
ESP,40.263199,9,580673.5,10,14421.941485573463,8,1
EST,1.3695126,3,5623.4023,5,4106.134036298753,7,1
ETH,64.297997,10,7903.3872,6,122.91809338944105,1,0
FIN,5.1761975,5,120562.92,9,23291.79286532247,9,1
FJI,0.810736,3,1652.7765,3,2038.6124459750151,5,1
FLK,0.002892,1,160.0,1,55325.03457814661,10,0
FRA,58.895515,10,1.3279629e6,10,22547.77634595775,9,1
FRO,0.04566,1,1070.0,2,23434.07796758651,9,0
FSM,0.484669,3,230.0,1,474.5506727271602,2,0
GAB,1.272094,3,5067.8389,5,3983.855674187599,7,1
GBR,59.742981,10,1.4428446e6,10,24150.86384792215,9,1
GEO,4.7200608,5,3057.4536,4,647.757249228654,3,1
GHA,19.866983,8,4972.1221,5,250.27061733530448,1,1
GIB,0.027741,1,500.0,2,18023.86359540031,9,0
GIN,8.2026281,6,3112.3625,4,379.43479358767956,2,1
GLP,0.422048,2,3600.0,4,8529.8354689514,8,0
GMB,1.315884,3,420.89459,2,319.85690987959424,2,1
GNB,1.3656501,3,215.45549,1,157.76771077745315,1,1
GNQ,0.44884399,3,1254.223,3,2794.3406349275165,6,0
GRC,10.9175,7,114600.98,9,10496.998397068925,8,1
GRD,0.1014,1,410.40741,2,4047.410355029586,7,1
GRL,0.056200001,1,1070.0,2,19039.145568698477,9,0
GTM,11.166376,7,19290.566,7,1727.5583412201058,5,1
GUF,0.163163,2,1000.0,2,6128.840484668705,7,0
GUY,0.74368298,3,712.66791,2,958.2953074978266,4,1
HKG,6.665,6,168753.94,9,25319.420855213804,9,1
HND,6.4243398,6,5956.0962,5,927.114129299325,4,1
HRV,4.5025001,5,18427.229,7,4092.665983505475,7,1
HTI,7.9387908,6,3848.6196,4,484.78662518730187,3,1
HUN,10.210971,7,47958.184,8,4696.730996493869,7,1
IDN,206.265,10,165020.53,9,800.0413545681527,4,1
IND,1015.923,10,460195.41,10,452.98256856080627,2,1
IRL,3.8053999,5,96166.391,9,25271.03419538115,9,1
IRN,63.664001,10,101286.52,9,1590.9543605341426,5,0
IRQ,22.676001,8,25857.105,7,1140.2850529068155,4,0
ISL,0.28099999,2,8627.9971,6,30704.61710692588,10,1
ISR,6.289,6,115487.21,9,18363.366194943555,9,1
ITA,56.948601,9,1.0973441e6,10,19269.026468270928,9,1
JAM,2.5893886,4,8027.2646,6,3100.0617674766936,6,1
JOR,4.7975001,5,8460.4238,6,1763.5067480248726,5,1
JPN,126.87,10,4.649615e6,10,36648.656104674075,10,1
KAZ,14.883589,8,18291.99,7,1229.0039720930215,4,0
KEN,30.689331,9,12705.273,6,413.99641458459945,2,1
KGZ,4.9152999,5,1369.6919,3,278.65886677636905,2,1
KHM,12.744381,7,3668.3982,4,287.844360585265,2,0
KIR,0.090700001,1,49.019596,1,540.4586048461014,3,0
KNA,0.044286001,1,329.2037,1,7433.583809023534,8,1
KOR,47.00811,9,511657.53,10,10884.452278553637,8,1
KWT,2.1900001,4,37718.012,8,17222.835743249514,9,1
LAO,5.2239699,5,1732.9471,3,331.729916743969,2,0
LBN,3.7722831,5,16821.891,7,4459.339491248682,7,0
LBR,3.0654409,4,560.89996,2,182.97529728920887,1,0
LBY,5.3062501,5,34495.012,8,6500.826638382538,7,0
LCA,0.15599599,2,685.37408,2,4393.536526163269,7,1
LKA,19.358999,8,16331.874,7,843.6321526748361,4,1
LSO,1.787504,4,853.02594,2,477.2162411944253,2,1
LTU,3.4995275,4,11418.426,6,3262.8479130396886,6,0
LUX,0.43799999,3,20269.578,7,46277.57639903143,10,1
LVA,2.372,4,7833.0684,6,3302.305396290051,6,1
MAC,0.443537,3,5876.2466,5,13248.60518964596,8,1
MAR,28.465719,9,33334.066,8,1171.0249089439826,4,1
MDA,4.1454368,5,1288.4202,3,310.8044488822023,2,0
MDG,16.195065,8,3877.5752,4,239.42943112608688,1,0
MDV,0.290209,2,624.33307,2,2151.3222195038747,5,1
MEX,97.966003,10,581426.44,10,5934.981750761026,7,1
MHL,0.052821517,1,111.035,1,2102.078969068609,5,0
MKD,2.0095141,4,3586.884,4,1784.950899324369,5,0
MLI,11.646917,7,2422.4697,3,207.992355401863,1,1
MLT,0.38999999,2,3873.3455,4,9931.655382862959,8,1
MMR,47.723904,9,6850.0,5,143.5339405594312,1,1
MNG,2.398,4,941.29785,2,392.53454962468726,2,1
MOZ,17.910521,8,3777.7051,4,210.92100559218798,1,1
MRT,2.6445129,4,1081.1682,2,408.83453432955463,2,1
MTQ,0.387016,2,6120.0,5,15813.29970853918,8,0
MUS,1.186873,3,4469.3252,5,3765.6305266022564,6,1
MWI,11.512454,7,1743.5066,3,151.44526093220438,1,1
MYS,22.997185,8,90319.742,8,3927.425987137121,7,1
NAM,1.894436,4,3413.5447,4,1801.8791344759072,5,1
NCL,0.21322034,2,2682.3469,4,12580.164256374415,8,0
NER,11.782384,7,1798.3652,3,152.6316915150618,1,1
NGA,124.77261,10,45983.602,8,368.53923308969814,2,1
NIC,4.9202857,5,3936.3279,4,800.0201898845021,4,1
NLD,15.925431,8,386510.5,10,24270.01818663495,9,1
NOR,4.4910002,5,166906.2,9,37164.59420331355,10,1
NPL,24.430616,9,5488.6895,5,224.6643924164663,1,0
NRU,0.010377,1,60.0,1,5782.017924255565,7,0
NZL,3.8578,5,52674.344,8,13653.985172896468,8,1
OMN,2.4419999,4,19867.881,7,8135.905738571079,8,1
PAK,138.08,10,73320.828,8,531.0025202780996,3,1
PAN,2.9499481,4,11620.5,6,3939.221845970782,7,1
PER,25.95219,9,53290.391,8,2053.4063213933005,5,1
PHL,75.766144,10,75912.547,8,1001.9323010552049,4,1
PLW,0.019726,1,119.863,1,6076.396633884214,7,0
PNG,5.2988672,5,3419.9556,4,645.4125893172035,3,1
POL,38.4538,9,171319.22,9,4455.196105456418,7,1
PRK,21.862146,8,10200.0,6,466.5598701975552,2,0
PRT,10.225803,7,112649.9,9,11016.239996017915,8,1
PRY,5.3462672,5,7071.2656,5,1322.6547300142424,4,1
PYF,0.23612399,2,3447.5432,4,14600.56303470054,8,0
QAT,0.60633898,3,17759.889,7,29290.36328820555,10,1
REU,0.736714,3,5000.0,5,6786.894235754988,7,0
ROM,22.443001,8,37052.637,8,1650.966241101179,5,1
RUS,146.30299,10,259708.5,9,1775.1414376425253,5,0
RWA,8.0245113,6,1810.88,3,225.66857124370927,1,1
SAU,20.660704,8,188441.88,9,9120.786978023596,8,0
SDN,32.902416,9,12366.141,6,375.8429472170068,2,0
SEN,10.342831,7,4373.3008,4,422.83401904178845,2,1
SGP,4.0177002,5,92716.859,8,23077.097439973244,9,1
SHN,0.005157,1,20.0,1,3878.2237735117315,6,0
SLB,0.418733,2,299.27704,1,714.7204543229217,3,1
SLE,4.5089869,5,633.78656,2,140.56074547477616,1,1
SLV,6.2804818,6,13134.147,6,2091.2642402689553,5,1
SMR,0.026823,1,773.58514,2,28840.366103716962,10,0
SOM,7.0116582,6,2000.0,3,285.23923199793165,2,0
SPM,0.006294,1,100.0,1,15888.147442008261,9,0
STP,0.139677,2,80.0,1,572.7499874710941,3,0
SUR,0.43401799,2,892.16437,2,2055.593064241415,5,1
SVK,5.388741,6,20374.762,7,3780.9874328716114,6,1
SVN,1.989,4,19311.59,7,9709.195575666163,8,1
SWE,8.8690004,7,242004.09,9,27286.512468755784,10,1
SWZ,1.045,3,1388.7032,3,1328.9025837320573,4,1
SYC,0.081130996,1,614.87976,2,7578.8513677312685,8,0
SYR,16.812824,8,19325.895,7,1149.4734614482375,4,0
TCD,8.215517,6,1385.051,3,168.5896334947636,1,1
TGO,5.3637509,5,1329.1104,3,247.79495259558007,1,1
THA,61.438313,10,122725.24,9,1997.5359674996284,5,1
TJK,6.1728349,6,980.01349,2,158.76230384843115,1,0
TKM,4.50214,5,2904.6626,4,645.1737618110499,3,0
TMP,0.884366,3,367.0,1,414.9865553402098,2,0
TON,0.10019,1,147.33238,1,1470.5297933925542,5,0
TTO,1.2847,3,8154.3159,6,6347.252977348798,7,1
TUN,9.5635004,7,19443.277,7,2033.0711754871675,5,1
TUR,67.419998,10,199267.31,9,2955.611330632196,6,1
TUV,0.009638,1,13.0,1,1348.827557584561,4,0
TWN,22.129999,8,321230.0,10,14515.590353167208,8,0
TZA,33.848755,9,9079.2627,6,268.2303292986699,1,1
UGA,24.308744,8,5926.374,5,243.7959772829069,1,1
UKR,49.175846,9,31261.527,8,635.7089820071423,3,0
URY,3.3008473,4,20670.51,7,6262.183046153028,7,1
USA,282.224,10,9.7648e6,10,34599.46708997109,10,1
UZB,24.65,9,13760.375,7,558.2302231237322,3,0
VCT,0.115949,2,335.18518,1,2890.798368248109,6,1
VEN,24.311001,9,117147.62,9,4818.708205392283,7,1
VNM,77.635399,10,31172.518,8,401.52454165914696,2,0
VUT,0.191457,2,244.55966,1,1277.36076508041,4,0
WSM,0.17747501,2,231.64679,1,1305.2361005642429,4,0
YEM,17.936592,8,9441.4736,6,526.3805744145822,3,0
YUG,8.1372366,6,8602.7988,6,1057.2137966345972,4,0
ZAF,44.0,9,132877.64,9,3019.946363636364,6,1
ZAR,50.052101,9,4305.7974,4,86.02630686771771,1,1
ZMB,10.702114,7,3237.72,4,302.53088315074945,2,1
ZWE,12.595084,7,7399.2241,6,587.4692141791195,3,1
