ISO,Population,Population_bracket,GDP,GDP_bracket,GDP_per_capita,GDP_per_capita_bracket,GATT
IRQ,26.922279,9,50000.0,8,1857.1978991823091,5,0
ISL,0.29675001,2,15813.895,7,53290.29306519653,10,1
ISR,6.9236002,6,123433.6,9,17827.950262061637,9,1
ITA,58.607052,10,1.7625189e6,10,30073.495251049306,10,1
JAM,2.6545,4,9746.1973,6,3671.5755509512146,6,1
JOR,5.4115,6,12711.632,6,2349.0034186454773,5,1
JPN,127.774,10,4.533965e6,10,35484.25344749323,10,1
KAZ,15.14705,8,57123.672,8,3771.273746373056,6,0
KEN,34.255722,9,19193.211,7,560.2921170366808,3,1
KGZ,5.1434999,5,2459.876,3,478.2494503402246,2,1
KHM,14.071014,8,6194.3018,5,440.21715847912594,2,1
KIR,0.098999999,1,66.361206,1,670.3152188920728,3,0
KNA,0.048,1,453.0,2,9437.5,8,1
KOR,48.294144,9,791426.88,10,16387.63656314107,9,1
KWT,2.5354462,4,80780.82,8,31860.593216294634,10,1
LAO,5.6639099,6,2881.7007,4,508.7829345590402,3,0
LBN,4.0107398,5,21523.342,7,5366.4269120624585,7,0
LBR,3.283267,4,529.0,2,161.1200063838853,1,0
LBY,5.8534522,6,41666.668,8,7118.3066977125045,7,0
LCA,0.164791,2,825.18518,2,5007.465092147023,7,1
LKA,19.625383,8,23538.24,7,1199.377357374376,4,1
LSO,1.794769,4,1456.6,3,811.5807661041615,4,1
LTU,3.4143,4,25652.303,7,7513.195384119732,8,1
LUX,0.45670959,3,36468.723,8,79851.01210596431,10,1
LVA,2.3004999,4,16041.817,7,6973.187436348073,7,1
MAC,0.46016201,3,11578.672,6,25162.164082167496,9,1
MAR,30.14271,9,51620.984,8,1712.5528527461531,5,1
MDA,3.8766611,5,2988.1726,4,770.8108918780648,3,1
MDG,18.605921,8,5039.9746,5,270.88014616422373,1,0
MDV,0.329198,2,755.93121,2,2296.281295755138,5,1
MEX,103.08913,10,767690.25,10,7446.859334247946,8,1
MHL,0.063266098,1,144.35699,1,2281.7432173547354,5,0
MKD,2.03406,4,5766.1787,5,2834.8124932401206,6,1
MLI,13.518416,7,5305.3188,5,392.4512161779901,2,1
MLT,0.40349999,2,5569.6533,5,13803.354245436289,8,1
MMR,50.519493,9,10590.0,6,209.62205618334295,1,1
